-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,resultMap,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,resultMap,map
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,reducer,reducer
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,updateResultEvent,update
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,updateResultEvent,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,updateResultEvent,event
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,thisInputString,this
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,thisInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,nameInDictionary,thisInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,variableHasInterfaceType,MapperInterface,getSumMapper
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,variableHasInterfaceType,MapperInterface,mappedKeyValue
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,variableHasInterfaceType,ReducerInterface,reducer
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,peerDoesNotHaveCommonProperties,readonly  p-v:3 access:public InputString:String(public , null),SumModel,comp533.model.TokenCounterModel
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,peerDoesNotHaveCommonProperties,readonly  p-v:3 access:public Result:java.util.Map(public , null),SumModel,comp533.model.TokenCounterModel
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,classHasAtLeastOneInterface,comp533.model.SumModel,No Tag
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\SumModel.java,publicMethodsDoNotOverride,[public  setInputString:String;comp533.view.TokenCounterView->void, public  computeResultMapReduce:String;comp533.view.TokenCounterView->void, public  getInputString:->String, public  getResult:->java.util.Map]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,tags,comp533.model.TokenCounterModel,@ModelClass
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,comp533.model.TokenCounterModel,comp
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,comp533.model.TokenCounterModel,model
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,comp533.model.TokenCounterModel,token
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,comp533.model.TokenCounterModel,counter
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,inputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,inputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,result,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,propertyChangeSupport,property
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,propertyChangeSupport,change
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,propertyChangeSupport,support
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,blank,blank
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,oldInputString,old
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,oldInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,oldInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,SetInputStringEvent,set
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,SetInputStringEvent,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,SetInputStringEvent,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,SetInputStringEvent,event
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,newInputString,new
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,newInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,newInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,view,view
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,oldResult,old
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,oldResult,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,tokens,tokens
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,updateResultEvent,update
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,updateResultEvent,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,updateResultEvent,event
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,tokensList,tokens
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,tokensList,list
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,mappedKeyValue,mapped
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,mappedKeyValue,key
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,mappedKeyValue,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,resultMap,result
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,resultMap,map
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,reducer,reducer
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,thisInputString,this
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,thisInputString,input
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,thisInputString,string
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,map,map
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,token,token
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,nameInDictionary,value,value
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,variableHasInterfaceType,MapperInterface,mappedKeyValue
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,variableHasInterfaceType,ReducerInterface,reducer
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,peerDoesNotHaveCommonProperties,readonly  p-v:3 access:public InputString:String(public , null),TokenCounterModel,comp533.model.SumModel
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,peerDoesNotHaveCommonProperties,readonly  p-v:3 access:public Result:java.util.Map(public , null),TokenCounterModel,comp533.model.SumModel
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.util.List!clear:->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.lang.Thread!interrupt:->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
-1,Tue Feb 15 08:45:34 EST 2022,true,comp533\model\TokenCounterModel.java,missingMethodCall,java.util.Map!clear:->void,No method,comp533.model.TokenCounterModel:[@ModelClass]
